自然主義,-1,-1,1000,名詞,一般,*,*,*,*,自然主義,シゼンシュギ,シゼンシュギ
習慣的,-1,-1,1000,名詞,一般,*,*,*,*,習慣的,シュウカンテキ,シュウカンテキ
お前さん,-1,-1,1000,名詞,一般,*,*,*,*,お前さん,オマエサン,オマエサン
表彰式,-1,-1,1000,名詞,一般,*,*,*,*,表彰式,ヒョウショウシキ,ヒョウショウシキ
校長室,-1,-1,1000,名詞,一般,*,*,*,*,校長室,コウチョウシツ,コウチョウシツ
環境都市工学,-1,-1,1000,名詞,一般,*,*,*,*,環境都市工学,カンキョウトシコウガク,カンキョウトシコウガク
デジタルデータ,-1,-1,1000,名詞,一般,*,*,*,*,デジタルデータ,デジタルデータ,デジタルデータ
移動通信システム,-1,-1,1000,名詞,一般,*,*,*,*,移動通信システム,イドウツウシンシステム,イドウツウシンシステム
デジタル化,-1,-1,1000,名詞,一般,*,*,*,*,デジタル化,デジタルカ,デジタルカ
感染症,-1,-1,1000,名詞,一般,*,*,*,*,感染症,カンセンショウ,カンセンショウ
新型コロナウイルス感染症,-1,-1,1000,名詞,一般,*,*,*,*,新型コロナウイルス感染症,シンガタコロナウイルスカンセンショウ,シンガタコロナウイルスカンセンショウ
サイバー空間,-1,-1,1000,名詞,一般,*,*,*,*,サイバー空間,サイバークウカン,サイバークウカン
情報通信,-1,-1,1000,名詞,一般,*,*,*,*,情報通信,ジョウホウツウシン,ジョウホウツウシン
社会全体,-1,-1,1000,名詞,一般,*,*,*,*,社会全体,シャカイゼンタイ,シャカイゼンタイ
